codgeo,x,y,libgeo
01286,913472.9,6518311.007,Parves et Nattages
01288,925144.964,6569952.447,Péron
01289,871078.45,6565923.994,Péronnas
01290,869013.634,6533558.789,Pérouges
01291,852115.648,6573733.916,Perrex
01293,893372.439,6564190.589,Peyriat
01294,908596.192,6512093.005,Peyrieu
01295,840721.302,6559674.231,Peyzieux-sur-Saône
01296,874761.62,6589802.477,Pirajoux
01297,862008.846,6534617.517,Pizay
01298,909559.509,6568912.435,Plagne
01299,861568.243,6549159.182,Le Plantay
01301,864711.064,6574058.998,Polliat
01302,913445.52,6525570.063,Pollieu
01303,886655.114,6557243.923,Poncin
01304,881398.439,6553200.055,Pont-d'Ain
01305,848030.774,6595389.592,Pont-de-Vaux
01306,844959.189,6575461.423,Pont-de-Veyle
01307,898754.968,6565064.054,Port
01308,927658.934,6564851.582,Pougny
01309,886458.702,6583079.604,Pouillat
01310,905826.748,6512481.108,Prémeyzel
01311,898888.976,6534022.618,Prémillieu
01313,936546.561,6577727.421,Prévessin-Moëns
01314,876717.528,6549227.548,Priay
01317,881649.846,6568305.499,Ramasse
01318,844311.45,6542597.283,Rancé
01319,850040.93,6555632.973,Relevant
01320,844299.949,6580318.241,Replonges
01321,880212.956,6565062.791,Revonnas
01322,841651.596,6539098.968,Reyrieux
01323,846937.188,6593836.905,Reyssouze
01325,867982.95,6541491.423,Rignieux-le-Franc
01328,856068.102,6560205.91,Romans
01329,901708.958,6529643.575,Rossillon
01330,905291.733,6548385.361,Ruffieu
01331,889638.721,6558311.202,Saint-Alban
01332,847326.123,6579335.166,Saint-André-de-Bâgé
01333,851382.875,6538212.332,Saint-André-de-Corcy
01334,847474.817,6570020.61,Saint-André-d'Huiriat
01335,860627.338,6559177.741,Saint-André-le-Bouchoux
01336,865253.93,6563292.295,Saint-André-sur-Vieux-Jonc
01337,849938.37,6596496.41,Saint-Bénigne
01338,900840.394,6514152.84,Groslée-Saint-Benoit
01339,834904.223,6540340.497,Saint-Bernard
01342,858906.172,6534968.27,Sainte-Croix
01343,851506.848,6576953.911,Saint-Cyr-sur-Menthon
01344,868372.054,6570280.657,Saint-Denis-lès-Bourg
01345,880042.122,6541429.825,Saint-Denis-en-Bugey
01346,858452.94,6580697.313,Saint-Didier-d'Aussiat
01347,837679.682,6541226.905,Saint-Didier-de-Formans
01348,840068.575,6566590.151,Saint-Didier-sur-Chalaronne
01349,866712.223,6539307.175,Saint-Éloi
01350,875833.423,6577508.516,Saint-Étienne-du-Bois
01351,844110.874,6562463.21,Saint-Étienne-sur-Chalaronne
01352,854068.904,6591204.125,Saint-Étienne-sur-Reyssouze
01353,838989.742,6542398.999,Sainte-Euphémie
01354,933826.968,6577212.292,Saint-Genis-Pouilly
01355,855032.454,6577787.733,Saint-Genis-sur-Menthon
01356,856723.207,6557985.878,Saint-Georges-sur-Renon
